col,file,locale,slug,url,noindex,draft,title,impr,clk,pos,action,reason
blog,10-amazon-fba-fehler-anfaenger-2026.mdx,de,10-amazon-fba-fehler-anfaenger-2026,/de/blog/10-amazon-fba-fehler-anfaenger-2026/,False,False,"10 Amazon FBA Fehler, die Anfänger 2026 Tausende kosten",1,0,11.0,KEEP,editorial
blog,10-amazon-fba-mistakes-2026.mdx,en,10-amazon-fba-mistakes-2026,/blog/10-amazon-fba-mistakes-2026/,False,False,10 Amazon FBA Mistakes That Cost Beginners Thousands in 2026,35,0,7.9,KEEP,editorial
blog,abmahnung-amazon-seller-was-tun-2026.mdx,de,abmahnung-amazon-seller-was-tun-2026,/de/blog/abmahnung-amazon-seller-was-tun-2026/,False,False,Abmahnung als Amazon-Seller: Was du jetzt tun musst (2026),0,0,,KEEP,editorial
blog,acos-amazon-o-que-e-como-reduzir-2026.mdx,br,acos-amazon-o-que-e-como-reduzir-2026,/br/blog/acos-amazon-o-que-e-como-reduzir-2026/,False,False,ACoS na Amazon: o que é e como reduzir em 2026,0,0,,NOINDEX,locale-pilot
blog,acos-amazon-que-es-como-bajarlo-2026.mdx,mx,acos-amazon-que-es-como-bajarlo-2026,/mx/blog/acos-amazon-que-es-como-bajarlo-2026/,False,False,ACoS en Amazon: qué es y cómo bajarlo en 2026,0,0,,NOINDEX,locale-pilot
blog,ai-instrumenty-amazon-prodavcov-2026.mdx,ru,ai-instrumenty-amazon-prodavcov-2026,/ru/blog/ai-instrumenty-amazon-prodavcov-2026/,False,False,AI-инструменты для продавцов Amazon в 2026,0,0,,KEEP,editorial
blog,ai-vs-agency-amazon-ppc-case-study-basecamp-roasters.mdx,en,ai-vs-agency-amazon-ppc-case-study-basecamp-roasters,/blog/ai-vs-agency-amazon-ppc-case-study-basecamp-roasters/,False,False,AI vs Agency Amazon PPC: Basecamp Roasters Case Study,14,0,3.4,KEEP,explicit-keep
blog,ai-vs-manual-amazon-ppc-case-study-tropeza.mdx,en,ai-vs-manual-amazon-ppc-case-study-tropeza,/blog/ai-vs-manual-amazon-ppc-case-study-tropeza/,False,False,"AI vs Manual Amazon PPC: A Real Case Study (Tropeza, 2024)",44,0,6.5,KEEP,explicit-keep
blog,amazon-acos-guide-2026.mdx,en,amazon-acos-guide-2026,/blog/amazon-acos-guide-2026/,False,False,Amazon ACoS Explained: What It Is and How to Lower It,596,0,41.6,KEEP,editorial
blog,amazon-acos-rukovodstvo-2026.mdx,ru,amazon-acos-rukovodstvo-2026,/ru/blog/amazon-acos-rukovodstvo-2026/,False,False,Amazon ACoS: что это и как снизить в 2026,0,0,,KEEP,editorial
blog,amazon-acos-senken-7-massnahmen.mdx,de,amazon-acos-senken-7-massnahmen,/de/blog/amazon-acos-senken-7-massnahmen/,False,False,Amazon ACoS senken — 7 konkrete Maßnahmen,0,0,,KEEP,editorial
blog,amazon-acos-shi-shenme-2026.mdx,zh,amazon-acos-shi-shenme-2026,/zh/blog/amazon-acos-shi-shenme-2026/,False,False,亚马逊 ACoS 是什么，2026 年如何降低它,0,0,,NOINDEX,locale-pilot
